"Transmitter","number_of_detections","first_detection","last_detection","animal_short_name","Transmitter_SN","tag_family","when_encountered","capture_method","tag_lat","tag_lon","tag_location","sex","TNL_cm","SciName","est_tag_expiry_date","Owner","standard_length_cm","disk_length"
"A69-9004-12181",8,2023-01-16 01:50:08,2023-09-26 14:41:22,"2022-63",1513474,"V16P-6x-BLU-2-0204m",2022-09-02,"dart",32.91071,-117.26122,"Torrey Pines","F",243.8,"Carcharodon carcharias","8/30/2032","Chris Lowe",NA,NA
"A69-9004-14388",8,2021-08-31 17:36:09,2021-11-28 02:50:09,"2021-45",1394087,"V16TP-6x-BLU-2-0204m",2021-08-27,"dart",34.404472,-119.55765,"Carpinteria","F",228,"Carcharodon carcharias","8/25/2031","Chris Lowe",NA,NA
"A69-1303-33545",7,2016-09-08 15:12:01,2016-09-18 15:06:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharodon carcharias",NA,NA,NA,NA
"A69-1601-19099",7,2015-07-16 19:34:10,2015-07-20 04:33:46,"2014-04",1198170,"V13-1x-069k-3",2014-11-06,"dart",33.882561,-118.414091,"Unknown","U",NA,"Carcharodon carcharias","11/3/2015","Chris Lowe",NA,NA
"A69-1602-12257",7,2023-09-08 01:08:56,2023-09-13 20:51:04,"DDT-BR-23-02",1307116,"V13-1x-BLU-1",2023-07-28,NA,NA,NA,"Channel Islands","M",NA,"Myliobatis californica",NA,"Chris Lowe",NA,68
"A69-1602-58589",7,2021-07-03 13:50:39,2022-07-12 03:58:49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-1602-58598",7,2020-02-07 01:49:29,2020-02-07 02:01:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A69-9001-4985",7,2020-07-25 00:00:02,2020-07-29 13:09:05,"2020-04",1334217,"V16-6x-069k-2",2020-01-15,"dart",35.20901,-120.86189,"Diablo Canyon","F",366,"Carcharodon carcharias","10/3/2025","Chris Lowe",NA,NA
"A69-9001-8566",7,2020-02-21 21:49:14,2020-02-22 12:07:32,"2019-14",1100361,"V16-5x-069k-2",2019-10-07,"dart",35.20901,-120.86189,"Diablo Canyon","M",274.32,"Carcharodon carcharias","3/24/2022","Chris Lowe",NA,NA
"A69-9001-8568",7,2020-11-11 12:41:31,2021-12-06 10:31:33,"2019-09",1301909,"V16-4x-069k-2",2019-09-25,"dart",35.20901,-120.86189,"Diablo Canyon","M",304.8,"Carcharodon carcharias","5/19/2021","Chris Lowe",NA,NA
"A69-9002-3586",7,2021-06-09 23:46:39,2021-11-23 09:42:48,"2021-27",1382584,"V16TP-6x-BLU-2-0204m",2021-06-02,"dart",34.41252,-119.562,"Carpinteria","F",185,"Carcharodon carcharias","5/31/2031","Chris Lowe",NA,NA
"A69-9002-3587",7,2021-06-23 14:49:40,2021-11-12 16:56:47,"2021-27",1382584,"V16TP-6x-BLU-2-0204m",2021-06-02,"dart",34.41252,-119.562,"Carpinteria","F",185,"Carcharodon carcharias","5/31/2031","Chris Lowe",NA,NA
"A69-9004-12212",7,2022-05-18 05:26:00,2022-05-26 15:49:31,"2022-17",1513505,"V16P-6x-BLU-2-0204m",2022-04-27,"dart",34.40827,-119.555,"Carpinteria","F",213.36,"Carcharodon carcharias","4/24/2032","Chris Lowe",NA,NA
"A69-9004-12214",7,2022-08-14 20:32:23,2022-09-27 16:33:54,"2022-13",1513507,"V16P-6x-BLU-2-0204m",2022-04-27,"dart",34.409,-119.556,"Carpinteria","F",182.88,"Carcharodon carcharias","4/24/2032","Chris Lowe",NA,NA
