Transmitter,animal_short_name,Transmitter_SN,tag_family,capture_method,tag_lat,tag_lon,tag_location,sex,est_tag_expiry_date,Owner,standard_length_cm,disk_length,SciName,TNL_cm,when_encountered,last_detection,first_detection,number_of_detections
A69-1303-52074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-25T08:11:54Z,2013-11-30T08:18:48Z,106
A69-1601-30029,2012-07,1144529,V16-6x-069k-1,purse_seine,33.991,-118.484,Unknown,M,12/11/2020,Chris Lowe,NA,NA,Carcharodon carcharias,145,2012-08-16,2022-11-03T11:17:51Z,2014-07-28T04:46:56Z,102
A69-9001-12153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,274,2018-01-29,2020-05-14T16:39:22Z,2020-03-16T02:24:32Z,101
A69-9001-24384,2017-2MX,1195909,V16-6x-069k-2,gillnet,27.86618,-114.3887,Unknown,M,6/18/2027,Chris Lowe,NA,NA,Carcharodon carcharias,152,2017-06-20,2022-05-24T06:03:54Z,2019-10-26T16:33:15Z,98
A69-9001-4336,2020-40,1342057,V16-4x-069k-2,dart,34.401352,-119.551955,Carpinteria,U,8/24/2024,Chris Lowe,NA,NA,Carcharodon carcharias,244,2020-08-25,2022-10-11T09:24:45Z,2020-08-31T17:43:33Z,96
A69-9004-12229,2022-16,1513522,V16P-6x-BLU-2-0204m,dart,34.40894,-119.556,Carpinteria,F,4/24/2032,Chris Lowe,NA,NA,Carcharodon carcharias,213.36,2022-04-27,2023-03-05T08:47:08Z,2022-05-09T06:38:51Z,92
A69-1602-8672,2020-42,1295010,V13-1x-069k-3,dart,34.397899,-119.539882,Carpinteria,F,4/28/2022,Chris Lowe,NA,NA,Carcharodon carcharias,230,2020-09-03,2021-10-14T14:25:09Z,2020-09-05T18:33:46Z,89
A69-9001-55574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carcharodon carcharias,NA,2022-11-07,2023-10-26T09:10:26Z,2023-01-30T10:26:00Z,87
A69-9001-63057,2021-51,1382603,V16-6x-BLU-2,dart,34.412692,-119.561933,Carpinteria,F,9/8/2031,Chris Lowe,NA,NA,Carcharodon carcharias,274,2021-09-10,2021-12-03T12:49:48Z,2021-09-09T17:57:40Z,85
A69-1602-8668,2020-35,1295006,V13-1x-069k-3,dart,34.397899,-119.539882,Carpinteria,F,4/27/2022,Chris Lowe,NA,NA,Carcharodon carcharias,183,2020-09-02,2021-06-29T04:29:39Z,2020-09-03T10:49:18Z,84
A69-9002-4560,2021-36,1370686,V16P-6x-BLU-2-0680m,dart,34.394147,-119.53609,Carpinteria,F,11/18/2027,Chris Lowe,NA,NA,Carcharodon carcharias,305,2021-08-02,2021-11-26T01:55:12Z,2021-09-13T03:42:45Z,84
A69-1601-46760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-07-12T01:51:42Z,2017-06-29T17:06:44Z,81
A69-9001-26868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galeorhinus galeus,NA,NA,2015-11-15T06:28:48Z,2014-10-31T08:29:47Z,80
A69-9001-4712,2022-84,1336196,V16-6x,gillnet,34.123889,-119.275286,Oxnard,M,10/14/2032,Chris Lowe,NA,NA,Carcharodon carcharias,166.9,2022-10-17,2023-10-02T17:35:57Z,2022-11-05T22:06:08Z,79
